sample,type,system,station,season,date,time,month,year,vol,d_vol,flushing,precip,pCO2,TA,TA_cat,PR,BR,BR.PR,TP,TN,N.P,DOC,pH,DO_sat,DO,temp,chla,secchi,zeu,depth,d_depth,Zeu.depth
1,Semi-arid,Gargalheiras,P1,Rain,10-Dec,10:00:00 AM,December,2010,23227342,-2232879,Without,39.5,192.69,2.49,> 1 meq/L,37.57,31.2,0.83,145.94,933.5,6396.66,,8.9,147.1,11.2,29.1,55,0.84,2.1,18.5,3.5,0.11
2,Semi-arid,Gargalheiras,P1,Rain,11-Jan,10:00:00 AM,January,2011,24731425,1504083,Without,116.1,349.95,2.6,> 1 meq/L,38.29,17.11,0.45,110.2,926,8402.83,,8.7,117.4,9.2,27.3,103.3,0.84,2.1,18.85,0.35,0.11
3,Semi-arid,Gargalheiras,P1,Rain,11-Feb,10:00:00 AM,February,2011,23694127,-1037298,Without,106.8,229.45,2.54,> 1 meq/L,61.22,47.96,0.78,83.69,673.5,8047.73,,8.8,143,10.7,30.4,57.2,0.97,2.43,17,-1.85,0.14
4,Semi-arid,Gargalheiras,P1,Rain,11-Mar,10:00:00 AM,March,2011,26374575,2680448,Without,121.7,107.8,2.18,> 1 meq/L,82.34,15.38,0.19,103.28,1483.5,14363.23,,9.1,193.7,14.3,31,173.6,0.48,1.2,17.5,0.5,0.07
5,Semi-arid,Gargalheiras,P1,Rain,11-Apr,10:00:00 AM,April,2011,28081369,1706794,Without,242.7,94.1,2.12,> 1 meq/L,60.45,37.55,0.62,124.8,693.5,5556.79,,9.1,165.6,12.5,29.7,135.2,0.48,1.2,16.9,-0.6,0.07
6,Semi-arid,Gargalheiras,P1,Rain,11-May,10:00:00 AM,May,2011,44421480,16340111,With,214.1,1467.92,2.14,> 1 meq/L,37.2,24.69,0.66,72.55,4615,63615.59,,8,101.8,7.8,27.7,64.5,0.84,2.1,18.5,1.6,0.11
7,Semi-arid,Gargalheiras,P1,Rain,11-Jun,10:00:00 AM,June,2011,44421480,0,With,29.6,1715.01,2,> 1 meq/L,53.74,36.54,0.68,77.16,3785,49056.44,,7.9,169.6,13.3,26.5,57.2,0.86,2.16,17.7,-0.8,0.12
8,Semi-arid,Gargalheiras,P1,Rain,11-Jul,10:00:00 AM,July,2011,44421480,0,With,74,2764.21,2.1,> 1 meq/L,56.34,43.02,0.76,139.37,1754.6,12589.96,,7.7,88.1,7.1,24.9,50.4,0.84,2.1,20.1,2.4,0.1
9,Semi-arid,Gargalheiras,P1,Dry,11-Aug,10:00:00 AM,August,2011,43554641,-866839,Without,4.7,370.6,1.37,> 1 meq/L,118.94,120.19,1.01,147.69,1620,10968.9,,8.4,95.3,7.6,25.5,64.5,0.84,2.1,19.3,-0.8,0.11
10,Semi-arid,Gargalheiras,P1,Dry,11-Sep,10:00:00 AM,September,2011,41663354,-1891287,Without,0,881.1,2.09,> 1 meq/L,,,,108.56,1008.57,9290.02,,8.2,116.8,9.5,24.5,86.8,0.67,1.68,19.6,0.3,0.09
