date,system,pCO2_s,pCO2_b
dez/10,Gargalheiras,193,3614
jan/11,Gargalheiras,350,1744
fev/11,Gargalheiras,229,8789
mar/11,Gargalheiras,108,9854
abr/11,Gargalheiras,94,5153
mai/11,Gargalheiras,1468,26392
jun/11,Gargalheiras,1715,30805
jul/11,Gargalheiras,2764,19825
ago/11,Gargalheiras,371,NA
set/11,Gargalheiras,881,7752
out/11,Gargalheiras,14,1404
nov/11,Gargalheiras,51,2308
dez/11,Gargalheiras,133,2329
jan/12,Gargalheiras,122,3048
dez/10,Cruzeta,913,4797
jan/11,Cruzeta,905,3210
fev/11,Cruzeta,NA,NA
mar/11,Cruzeta,17,8295
abr/11,Cruzeta,1721,18104
mai/11,Cruzeta,13567,36064
jun/11,Cruzeta,5224,17153
jul/11,Cruzeta,3494,5849
ago/11,Cruzeta,874,NA
set/11,Cruzeta,8056,10948
out/11,Cruzeta,97,2599
nov/11,Cruzeta,963,5315
dez/11,Cruzeta,1061,3463
jan/12,Cruzeta,113,980
